対象	学名	和名	科目	ID	Scientific Name	Common Name	Family Name	ID	PO:food part	EnvO	Foodon	URL_en	URL_ja	Genome	Assembly	Assembly2	Assembly3
	*Cucumis melo*	メロン	ウリ科	t3656	*Cucumis melo*	Melon	Cucurbitaceae	t3656				https://plantgarden.jp/en/list/t3656	https://plantgarden.jp/ja/list/t3656	https://plantgarden.jp/en/list/t3656/genome	https://plantgarden.jp/en/list/t3656/genome/t3656.G001		
	*Cucumis melo* subsp. *agrestis*	ザッソウメロン	ウリ科	t3656	*Cucumis melo* subsp. *agrestis*		Cucurbitaceae	t3656				https://plantgarden.jp/en/list/t3656	https://plantgarden.jp/ja/list/t3656	https://plantgarden.jp/en/list/t3656/genome	https://plantgarden.jp/en/list/t3656/genome/t3656.G001		
	*Cucumis melo* subsp. *melo*	メロン	ウリ科	t3656	*Cucumis melo* subsp. *melo*		Cucurbitaceae	t3656				https://plantgarden.jp/en/list/t3656	https://plantgarden.jp/ja/list/t3656	https://plantgarden.jp/en/list/t3656/genome	https://plantgarden.jp/en/list/t3656/genome/t3656.G001		
	*Cucumis sativus*	キュウリ	ウリ科	t3659	*Cucumis sativus*	Cucumber	Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucumis sativus* var. *hardwickii*	キュウリ(hardwickii)	ウリ科	t3659	*Cucumis sativus* var. *hardwickii*		Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucumis sativus* var. *sativus*	キュウリ	ウリ科	t3659	*Cucumis sativus* var. *sativus*	Cucumber	Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucumis sativus* var. *xishuangbannanesis*	キュウリ(xishuangbannanesis)	ウリ科	t3659	*Cucumis sativus* var. *xishuangbannanesis*		Cucurbitaceae	t3659				https://plantgarden.jp/en/list/t3659	https://plantgarden.jp/ja/list/t3659	https://plantgarden.jp/en/list/t3659/genome	https://plantgarden.jp/en/list/t3659/genome/t3659.G001		
	*Cucurbita maxima*	セイヨウカボチャ	ウリ科	t3661	*Cucurbita maxima*	Winter squash	Cucurbitaceae	t3661				https://plantgarden.jp/en/list/t3661	https://plantgarden.jp/ja/list/t3661	https://plantgarden.jp/en/list/t3661/genome	https://plantgarden.jp/en/list/t3661/genome/t3661.G001		
	*Cucurbita moschata*	ニホンカボチャ	ウリ科	t3662	*Cucurbita moschata*	Crookneck pumpkin	Cucurbitaceae	t3662				https://plantgarden.jp/en/list/t3662	https://plantgarden.jp/ja/list/t3662	https://plantgarden.jp/en/list/t3662/genome	https://plantgarden.jp/en/list/t3662/genome/t3662.G001		
	*Cucurbita pepo*	ズッキーニ	ウリ科	t3663	*Cucurbita pepo*	Zucchini	Cucurbitaceae	t3663				https://plantgarden.jp/en/list/t3663	https://plantgarden.jp/ja/list/t3663	https://plantgarden.jp/en/list/t3663/genome	https://plantgarden.jp/en/list/t3663/genome/t3663.G001		
	*Cyanidioschyzon merolae*	シゾン	イデユコゴメ科	t45157	*Cyanidioschyzon merolae*	Chyzon	Cyanidiaceae	t45157				https://plantgarden.jp/en/list/t45157	https://plantgarden.jp/ja/list/t45157	https://plantgarden.jp/en/list/t45157/genome	https://plantgarden.jp/en/list/t45157/genome/t45157.G001		
	*Cynara cardunculus*	カルドン	キク科	t4265	*Cynara cardunculus*	Cardoon	Asteraceae	t4265				https://plantgarden.jp/en/list/t4265	https://plantgarden.jp/ja/list/t4265	https://plantgarden.jp/en/list/t4265/genome	https://plantgarden.jp/en/list/t4265/genome/t4265.G001		
	*Daucus carota*	ニンジン	セリ科	t4039	*Daucus carota*	Carrot	Apiaceae	t4039				https://plantgarden.jp/en/list/t4039	https://plantgarden.jp/ja/list/t4039	https://plantgarden.jp/en/list/t4039/genome	https://plantgarden.jp/en/list/t4039/genome/t4039.G001		
	*Dioscorea rotundata*	シロヤムイモ	ヤマノイモ科	t55577	*Dioscorea rotundata*	White yam	Dioscoreaceae	t55577				https://plantgarden.jp/en/list/t55577	https://plantgarden.jp/ja/list/t55577	https://plantgarden.jp/en/list/t55577/genome	https://plantgarden.jp/en/list/t55577/genome/t55577.G001		
	*Fagopyrum tataricum*	ダッタンソバ	タデ科	t62330	*Fagopyrum tataricum*	Tartary buckwheat	Polygonaceae	t62330				https://plantgarden.jp/en/list/t62330	https://plantgarden.jp/ja/list/t62330	https://plantgarden.jp/en/list/t62330/genome	https://plantgarden.jp/en/list/t62330/genome/t62330.G001		
	*Ficus carica*	イチジク	クワ科	t3494	*Ficus carica*	Common fig	Moraceae	t3494				https://plantgarden.jp/en/list/t3494	https://plantgarden.jp/ja/list/t3494	https://plantgarden.jp/en/list/t3494/genome	https://plantgarden.jp/en/list/t3494/genome/t3494.G001		
	*Ficus erecta*	イヌビワ	クワ科	t66383	*Ficus erecta*	Japanese fig	Moraceae	t66383				https://plantgarden.jp/en/list/t66383	https://plantgarden.jp/ja/list/t66383	https://plantgarden.jp/en/list/t66383/genome	https://plantgarden.jp/en/list/t66383/genome/t66383.G001		
	*Fragaria vesca*	エゾヘビイチゴ	バラ科	t57918	*Fragaria vesca*	Wild strawberry	Rosaceae	t57918				https://plantgarden.jp/en/list/t57918	https://plantgarden.jp/ja/list/t57918	https://plantgarden.jp/en/list/t57918/genome	https://plantgarden.jp/en/list/t57918/genome/t57918.G001		
1	*Fragaria x ananassa*	オランダイチゴ	バラ科	t3747	*Fragaria x ananassa*	Strawberry	Rosaceae	t3747	http://purl.obolibrary.org/obo/PO_0009064	http://purl.obolibrary.org/obo/ENVO_00001998	http://purl.obolibrary.org/obo/FOODON_03413336	https://plantgarden.jp/en/list/t3747	https://plantgarden.jp/ja/list/t3747	https://plantgarden.jp/en/list/t3747/genome	https://plantgarden.jp/en/list/t3747/genome/t3747.G001	https://plantgarden.jp/en/list/t3747/genome/t3747.G002	
1	*Glycine max*	ダイズ	マメ科	t3847	*Glycine max*	Soybean	Fabaceae	t3847	http://purl.obolibrary.org/obo/PO_0009010	http://purl.obolibrary.org/obo/ENVO_00001998	http://purl.obolibrary.org/obo/FOODON_03411452	https://plantgarden.jp/en/list/t3847	https://plantgarden.jp/ja/list/t3847	https://plantgarden.jp/en/list/t3847/genome	https://plantgarden.jp/en/list/t3847/genome/t3847.G001	https://plantgarden.jp/en/list/t3847/genome/t3847.G002	https://plantgarden.jp/en/list/t3847/genome/t3847.G003
	*Glycine soja*	ツルマメ	マメ科	t3848	*Glycine soja*	Wild soybean	Fabaceae	t3848				https://plantgarden.jp/en/list/t3848	https://plantgarden.jp/ja/list/t3848	https://plantgarden.jp/en/list/t3848/genome	https://plantgarden.jp/en/list/t3848/genome/t3848.G001		
	*Gossypium arboreum*	ワタノキ	アオイ科	t29729	*Gossypium arboreum*	Tree cotton	Malvaceae	t29729				https://plantgarden.jp/en/list/t29729	https://plantgarden.jp/ja/list/t29729	https://plantgarden.jp/en/list/t29729/genome	https://plantgarden.jp/en/list/t29729/genome/t29729.G001		
	*Gossypium barbadense*	クレオール	アオイ科	t3634	*Gossypium barbadense*	Creole cotton	Malvaceae	t3634				https://plantgarden.jp/en/list/t3634	https://plantgarden.jp/ja/list/t3634	https://plantgarden.jp/en/list/t3634/genome	https://plantgarden.jp/en/list/t3634/genome/t3634.G001		
	*Gossypium hirsutum*	アメリカワタ	アオイ科	t3635	*Gossypium hirsutum*	Upland cotton	Malvaceae	t3635				https://plantgarden.jp/en/list/t3635	https://plantgarden.jp/ja/list/t3635	https://plantgarden.jp/en/list/t3635/genome	https://plantgarden.jp/en/list/t3635/genome/t3635.G001		
	*Helianthus annuus*	ヒマワリ	キク科	t4232	*Helianthus annuus*	Sunflower	Asteraceae	t4232				https://plantgarden.jp/en/list/t4232	https://plantgarden.jp/ja/list/t4232	https://plantgarden.jp/en/list/t4232/genome	https://plantgarden.jp/en/list/t4232/genome/t4232.G001		
	*Hordeum vulgare*	オオムギ	イネ科	t4513	*Hordeum vulgare*	Barley	Poaceae	t4513				https://plantgarden.jp/en/list/t4513	https://plantgarden.jp/ja/list/t4513	https://plantgarden.jp/en/list/t4513/genome	https://plantgarden.jp/en/list/t4513/genome/t4513.G001		
	*Hordeum vulgare* subsp. *spontaneum*	ヤセイオオムギ	イネ科	t4513	*Hordeum vulgare* subsp. *spontaneum*		Poaceae	t4513				https://plantgarden.jp/en/list/t4513	https://plantgarden.jp/ja/list/t4513	https://plantgarden.jp/en/list/t4513/genome	https://plantgarden.jp/en/list/t4513/genome/t4513.G001		
	*Hordeum vulgare* subsp. *vulgare*	オオムギ	イネ科	t4513	*Hordeum vulgare* subsp. *vulgare*		Poaceae	t4513				https://plantgarden.jp/en/list/t4513	https://plantgarden.jp/ja/list/t4513	https://plantgarden.jp/en/list/t4513/genome	https://plantgarden.jp/en/list/t4513/genome/t4513.G001		
	*Ipomoea trifida*	野生サツマイモ	ヒルガオ科	t35884	*Ipomoea trifida*	Sweet potato	Convolvulaceae	t35884				https://plantgarden.jp/en/list/t35884	https://plantgarden.jp/ja/list/t35884	https://plantgarden.jp/en/list/t35884/genome	https://plantgarden.jp/en/list/t35884/genome/t35884.G001		
	*Lactuca sativa*	レタス	キク科	t4236	*Lactuca sativa*	Lettuce	Asteraceae	t4236				https://plantgarden.jp/en/list/t4236	https://plantgarden.jp/ja/list/t4236	https://plantgarden.jp/en/list/t4236/genome	https://plantgarden.jp/en/list/t4236/genome/t4236.G001		
	*Lagenaria siceraria*	ヒョウタン	ウリ科	t3668	*Lagenaria siceraria*	Bottle gourd	Cucurbitaceae	t3668				https://plantgarden.jp/en/list/t3668	https://plantgarden.jp/ja/list/t3668	https://plantgarden.jp/en/list/t3668/genome	https://plantgarden.jp/en/list/t3668/genome/t3668.G001		
	*Linum usitatissimum*	アマ	アマ科	t4006	*Linum usitatissimum*	Flax	Linaceae	t4006				https://plantgarden.jp/en/list/t4006	https://plantgarden.jp/ja/list/t4006	https://plantgarden.jp/en/list/t4006/genome	https://plantgarden.jp/en/list/t4006/genome/t4006.G001		
1	*Lotus japonicus*	ミヤコグサ	マメ科	t34305	*Lotus japonicus*	Japanese trefoil	Fabaceae	t34305	-	http://purl.obolibrary.org/obo/ENVO_00001998	-	https://plantgarden.jp/en/list/t34305	https://plantgarden.jp/ja/list/t34305	https://plantgarden.jp/en/list/t34305/genome	https://plantgarden.jp/en/list/t34305/genome/t34305.G001	https://plantgarden.jp/en/list/t34305/genome/t34305.G002	
	*Malus x domestica*	リンゴ	バラ科	t3750	*Malus x domestica*	Apple	Rosaceae	t3750				https://plantgarden.jp/en/list/t3750	https://plantgarden.jp/ja/list/t3750	https://plantgarden.jp/en/list/t3750/genome	https://plantgarden.jp/en/list/t3750/genome/t3750.G001		
	*Manihot esculenta*	キャッサバ	トウダイグサ科	t3983	*Manihot esculenta*	Cassava	Euphorbiaceae	t3983				https://plantgarden.jp/en/list/t3983	https://plantgarden.jp/ja/list/t3983	https://plantgarden.jp/en/list/t3983/genome	https://plantgarden.jp/en/list/t3983/genome/t3983.G001		
	*Medicago truncatula*	ウマゴヤシ	マメ科	t3880	*Medicago truncatula*	Barrel clover	Fabaceae	t3880				https://plantgarden.jp/en/list/t3880	https://plantgarden.jp/ja/list/t3880	https://plantgarden.jp/en/list/t3880/genome	https://plantgarden.jp/en/list/t3880/genome/t3880.G001		
	*Micromonas commoda*	ミクロモナス	マニエラ科	t296587	*Micromonas commoda*	Micromonas	Mamiellaceae	t296587				https://plantgarden.jp/en/list/t296587	https://plantgarden.jp/ja/list/t296587	https://plantgarden.jp/en/list/t296587/genome	https://plantgarden.jp/en/list/t296587/genome/t296587.G001		
	*Musa acuminata*	バナナ	バショウ科	t4641	*Musa acuminata*	Banana	Musaceae	t4641				https://plantgarden.jp/en/list/t4641	https://plantgarden.jp/ja/list/t4641	https://plantgarden.jp/en/list/t4641/genome	https://plantgarden.jp/en/list/t4641/genome/t4641.G001		
	*Nicotiana attenuata*	コヨーテタバコ	ナス科	t49451	*Nicotiana attenuata*	Coyote tobacco	Solanaceae	t49451				https://plantgarden.jp/en/list/t49451	https://plantgarden.jp/ja/list/t49451	https://plantgarden.jp/en/list/t49451/genome	https://plantgarden.jp/en/list/t49451/genome/t49451.G001		
	*Olea europaea*	オリーブ	モクセイ科	t4146	*Olea europaea*	Olive	Oleaceae	t4146				https://plantgarden.jp/en/list/t4146	https://plantgarden.jp/ja/list/t4146	https://plantgarden.jp/en/list/t4146/genome	https://plantgarden.jp/en/list/t4146/genome/t4146.G001		
	*Olea europaea* var. *sylvestris?*	野生オリーブ	モクセイ科	t4146	*Olea europaea* var. *sylvestris?*	Olive	Oleaceae	t4146				https://plantgarden.jp/en/list/t4146	https://plantgarden.jp/ja/list/t4146	https://plantgarden.jp/en/list/t4146/genome	https://plantgarden.jp/en/list/t4146/genome/t4146.G001		
	*Oryza sativa* subsp. *indica*	イネ(indica)	イネ科	t4530	*Oryza sativa* subsp. *indica*	Rice (indica)	Poaceae	t4530				https://plantgarden.jp/en/list/t4530	https://plantgarden.jp/ja/list/t4530	https://plantgarden.jp/en/list/t4530/genome	https://plantgarden.jp/en/list/t4530/genome/t4530.G001		
	*Oryza sativa* subsp. *japonica*	イネ(japonica)	イネ科	t4530	*Oryza sativa* subsp. *japonica*	Rice (japonica)	Poaceae	t4530				https://plantgarden.jp/en/list/t4530	https://plantgarden.jp/ja/list/t4530	https://plantgarden.jp/en/list/t4530/genome	https://plantgarden.jp/en/list/t4530/genome/t4530.G001		
	*Ostreococcus lucimarinus*	オストレオコッカス	バチコッカス科	t242159	*Ostreococcus lucimarinus*	Ostreococcus	Bathycoccaceae	t242159				https://plantgarden.jp/en/list/t242159	https://plantgarden.jp/ja/list/t242159	https://plantgarden.jp/en/list/t242159/genome	https://plantgarden.jp/en/list/t242159/genome/t242159.G001		
	*Phaseolus vulgaris*	インゲンマメ	マメ科	t3885	*Phaseolus vulgaris*	Green bean	Fabaceae	t3885				https://plantgarden.jp/en/list/t3885	https://plantgarden.jp/ja/list/t3885	https://plantgarden.jp/en/list/t3885/genome	https://plantgarden.jp/en/list/t3885/genome/t3885.G001		
	*Physcomitrella patens*	ヒメツリガネゴケ	ヒョウタンゴケ科	t3218	*Physcomitrella patens*	Spreading earthmoss	Funariaceae	t3218				https://plantgarden.jp/en/list/t3218	https://plantgarden.jp/ja/list/t3218	https://plantgarden.jp/en/list/t3218/genome	https://plantgarden.jp/en/list/t3218/genome/t3218.G001		
	*Populus trichocarpa*	ポプラ	ヤナギ科	t3694	*Populus trichocarpa*	Poplar	Salicaceae	t3694				https://plantgarden.jp/en/list/t3694	https://plantgarden.jp/ja/list/t3694	https://plantgarden.jp/en/list/t3694/genome	https://plantgarden.jp/en/list/t3694/genome/t3694.G001		
	*Prunus avium*	セイヨウミザクラ	バラ科	t42229	*Prunus avium*	Sweet cherry	Rosaceae	t42229				https://plantgarden.jp/en/list/t42229	https://plantgarden.jp/ja/list/t42229	https://plantgarden.jp/en/list/t42229/genome	https://plantgarden.jp/en/list/t42229/genome/t42229.G001		
	*Prunus persica*	モモ	バラ科	t3760	*Prunus persica*	Peach	Rosaceae	t3760				https://plantgarden.jp/en/list/t3760	https://plantgarden.jp/ja/list/t3760	https://plantgarden.jp/en/list/t3760/genome	https://plantgarden.jp/en/list/t3760/genome/t3760.G001		
